,race_desc_offender
6664,American Indian or Alaska Native
6665,American Indian or Alaska Native
6666,American Indian or Alaska Native
6667,American Indian or Alaska Native
6691,Black or African American
6693,Black or African American
6696,White
6719,White
6748,White
6751,American Indian or Alaska Native
6757,White
6795,White
6835,White
6836,White
6841,Black or African American
6876,Black or African American
6877,Black or African American
6883,Unknown
6884,Unknown
6921,White
6923,White
6948,White
6950,White
6969,White
6974,White
6989,White
6996,White
6997,White
6998,White
6999,White
7000,Black or African American
7001,American Indian or Alaska Native
7002,Black or African American
7003,Black or African American
7004,Black or African American
7005,Black or African American
7006,Black or African American
7007,Black or African American
7008,Black or African American
7009,White
7010,White
7011,White
7012,White
7013,Black or African American
7014,White
7015,White
7016,Black or African American
7017,Black or African American
7018,White
7019,White
7020,Black or African American
7021,White
7022,White
7023,Black or African American
7024,White
7025,Black or African American
7026,White
7027,Black or African American
7028,White
7029,White
7030,White
7031,White
7032,White
7033,White
7034,White
7035,White
7036,White
7037,White
7038,White
7039,White
7040,White
7041,White
7042,White
7043,American Indian or Alaska Native
7044,American Indian or Alaska Native
7045,Black or African American
7046,Black or African American
7047,Black or African American
7048,Black or African American
7049,Black or African American
7050,Black or African American
7051,White
7052,Black or African American
7053,White
7054,Unknown
7055,White
7056,White
7057,White
7058,White
7059,White
7060,White
7061,White
7062,White
7063,White
7064,White
7065,White
7066,White
7067,White
7068,White
7069,Black or African American
7070,Black or African American
7071,White
7072,White
7073,Black or African American
7074,White
7075,White
7076,Black or African American
7077,White
7078,White
7079,Black or African American
7080,White
7081,White
7082,Black or African American
7083,White
7084,White
7085,Black or African American
7086,White
7087,White
7088,White
7089,White
7090,White
7091,White
7092,White
7093,White
7094,White
7095,American Indian or Alaska Native
7096,American Indian or Alaska Native
7097,White
7098,Black or African American
7370,White
7371,White
7372,White
7373,White
8542,White
8543,White
8544,White
8545,White
8572,Black or African American
8573,Black or African American
8574,Black or African American
8575,Black or African American
8576,Black or African American
8577,Black or African American
8578,Black or African American
8579,Black or African American
8580,Black or African American
8581,Black or African American
8584,Black or African American
8585,Black or African American
8586,White
8587,White
8588,White
8589,White
8598,White
8599,White
8620,Asian
8621,Asian
8622,Asian
8623,Asian
8624,American Indian or Alaska Native
8625,American Indian or Alaska Native
8626,American Indian or Alaska Native
8627,American Indian or Alaska Native
8628,Black or African American
8629,Black or African American
8637,White
8641,White
8642,White
8643,White
8644,White
8645,White
8646,White
8647,White
8648,White
8649,White
8650,White
8651,White
8652,American Indian or Alaska Native
8653,White
8654,American Indian or Alaska Native
8655,White
8656,White
8657,White
8658,White
8659,White
8660,White
8661,White
8662,White
8663,White
8664,White
8665,White
8666,Black or African American
8667,White
8668,White
8669,White
8670,White
8671,White
8672,White
8673,American Indian or Alaska Native
8674,White
8675,American Indian or Alaska Native
8676,White
8677,White
8678,American Indian or Alaska Native
8679,American Indian or Alaska Native
8680,American Indian or Alaska Native
8681,White
8682,White
8683,White
8684,White
8685,White
8686,White
8687,White
8688,White
8689,White
8690,White
8691,White
8692,White
19234,White
19235,White
19236,White
19237,White
19238,White
19239,Black or African American
19240,Black or African American
19241,Black or African American
19242,Black or African American
19243,Black or African American
19244,White
19245,Black or African American
53508,White
53510,White
53511,White
53512,White
53513,White
53769,Asian
53771,Asian
54019,Black or African American
54035,White
54036,White
54037,White
54038,White
54067,White
54069,White
54225,White
54226,White
54227,White
54246,White
54336,American Indian or Alaska Native
54504,White
54505,White
54516,Black or African American
54517,Black or African American
54542,Black or African American
55357,White
55412,American Indian or Alaska Native
55413,American Indian or Alaska Native
55474,Black or African American
55475,Black or African American
55497,American Indian or Alaska Native
55535,White
55536,White
55537,White
55538,White
55539,White
55540,White
55541,American Indian or Alaska Native
55542,White
55543,American Indian or Alaska Native
55544,White
55545,White
55546,White
55547,American Indian or Alaska Native
55548,White
55549,American Indian or Alaska Native
55550,White
55551,White
55552,White
55553,White
55554,White
55555,Black or African American
55556,White
55557,White
55558,American Indian or Alaska Native
55559,Black or African American
55560,White
55561,White
55562,White
55563,White
55564,White
55565,White
55566,White
55567,White
55568,White
55569,White
55570,White
55571,White
55572,White
55573,White
55574,White
55575,White
55576,Black or African American
55577,Black or African American
55578,White
55579,White
55580,White
55581,Black or African American
55582,White
57644,White
57645,American Indian or Alaska Native
57646,Black or African American
57647,Black or African American
63544,White
63545,White
63546,White
63547,White
63651,Black or African American
63976,American Indian or Alaska Native
63992,White
63993,White
63994,American Indian or Alaska Native
63995,White
63996,White
63997,American Indian or Alaska Native
63998,White
63999,White
64000,Black or African American
65168,Black or African American
65169,Black or African American
65298,American Indian or Alaska Native
65301,Black or African American
65302,Black or African American
65304,White
65305,White
65306,Unknown
65307,White
65308,White
66446,Black or African American
66447,Black or African American
66448,Black or African American
66449,Black or African American
66450,Black or African American
66453,White
66455,White
66457,White
66466,White
66488,White
66502,Black or African American
66515,Black or African American
66516,Black or African American
66517,Black or African American
66518,Black or African American
66522,American Indian or Alaska Native
66525,White
66528,American Indian or Alaska Native
66530,White
66531,American Indian or Alaska Native
66532,White
66533,American Indian or Alaska Native
66534,Black or African American
66535,White
66536,Black or African American
66537,White
66538,Black or African American
66539,White
66540,Black or African American
66541,White
66542,Black or African American
66543,White
66544,White
66545,White
66546,American Indian or Alaska Native
66547,White
66548,American Indian or Alaska Native
66549,Black or African American
66550,White
66551,Black or African American
66552,White
66553,White
68474,White
68475,White
68476,White
68477,Black or African American
68478,Black or African American
68479,White
68480,Unknown
68481,White
68482,White
68483,White
68484,American Indian or Alaska Native
68485,White
68486,American Indian or Alaska Native
68487,White
68488,White
68489,White
68490,White
68491,White
68492,Black or African American
68493,Black or African American
68494,American Indian or Alaska Native
68495,American Indian or Alaska Native
68496,White
68497,White
68498,White
68499,Black or African American
68500,White
68501,White
68503,White
68505,White
68506,White
68507,White
68508,Unknown
68509,White
68510,White
68511,White
68512,American Indian or Alaska Native
68513,American Indian or Alaska Native
68514,Native Hawaiian or Other Pacific Islander
68515,White
68517,American Indian or Alaska Native
68519,White
68520,White
68521,White
68522,White
68523,Black or African American
