,age_num_offender
6664,34
6665,34
6666,34
6667,34
6691,19
6693,19
6696,19
6719,23
6748,20
6751,38
6757,34
6795,20
6835,39
6836,39
6841,24
6876,19
6877,19
6883,17
6884,17
6921,32
6923,31
6948,23
6950,41
6969,22
6974,42
6989,65
6996,43
6997,34
6998,34
6999,20
7000,28
7001,31
7002,24
7003,42
7004,28
7005,31
7006,16
7007,30
7008,15
7009,33
7010,26
7011,26
7012,37
7013,21
7014,37
7015,38
7016,20
7017,20
7018,69
7019,38
7020,23
7021,19
7022,27
7023,23
7024,19
7025,23
7026,19
7027,23
7028,19
7029,18
7030,47
7031,19
7032,47
7033,19
7034,18
7035,18
7036,47
7037,19
7038,18
7039,47
7040,19
7041,44
7042,44
7043,41
7044,41
7045,27
7046,27
7047,27
7048,27
7049,27
7050,27
7051,30
7052,39
7053,39
7054,13
7055,13
7056,13
7057,44
7058,18
7059,31
7060,31
7061,32
7062,30
7063,38
7064,29
7065,29
7066,43
7067,24
7068,21
7069,18
7070,18
7071,35
7072,24
7073,36
7074,35
7075,24
7076,36
7077,35
7078,24
7079,36
7080,35
7081,24
7082,36
7083,35
7084,24
7085,36
7086,12
7087,21
7088,45
7089,45
7090,45
7091,27
7092,35
7093,31
7094,31
7095,37
7096,37
7097,69
7098,25
7370,12
7371,59
7372,22
7373,22
8542,25
8543,47
8544,30
8545,22
8572,41
8573,41
8574,41
8575,41
8576,41
8577,39
8578,39
8579,39
8580,39
8581,39
8584,20
8585,21
8586,28
8587,28
8588,28
8589,28
8598,51
8599,51
8620,42
8621,42
8622,42
8623,42
8624,21
8625,22
8626,21
8627,22
8628,37
8629,37
8637,30
8641,39
8642,39
8643,40
8644,33
8645,33
8646,61
8647,34
8648,34
8649,34
8650,34
8651,44
8652,51
8653,44
8654,51
8655,39
8656,39
8657,39
8658,39
8659,39
8660,39
8661,39
8662,39
8663,39
8664,28
8665,34
8666,30
8667,38
8668,18
8669,18
8670,18
8671,18
8672,44
8673,51
8674,44
8675,51
8676,23
8677,23
8678,23
8679,23
8680,23
8681,23
8682,23
8683,23
8684,18
8685,18
8686,29
8687,29
8688,29
8689,29
8690,29
8691,29
8692,29
19234,59
19235,59
19236,29
19237,29
19238,29
19239,18
19240,38
19241,36
19242,38
19243,36
19244,29
19245,39
53508,62
53510,25
53511,47
53512,30
53513,22
53769,30
53771,21
54019,26
54035,27
54036,56
54037,27
54038,56
54067,35
54069,35
54225,20
54226,20
54227,20
54246,32
54336,38
54504,42
54505,42
54516,24
54517,24
54542,24
55357,43
55412,32
55413,32
55474,55
55475,55
55497,15
55535,65
55536,34
55537,34
55538,32
55539,32
55540,29
55541,42
55542,29
55543,42
55544,32
55545,32
55546,29
55547,42
55548,29
55549,42
55550,26
55551,26
55552,18
55553,26
55554,26
55555,42
55556,27
55557,45
55558,25
55559,21
55560,38
55561,38
55562,18
55563,18
55564,18
55565,47
55566,19
55567,47
55568,19
55569,18
55570,18
55571,47
55572,19
55573,18
55574,47
55575,19
55576,23
55577,22
55578,33
55579,31
55580,31
55581,38
55582,21
57644,30
57645,29
57646,38
57647,36
63544,25
63545,47
63546,30
63547,22
63651,26
63976,32
63992,32
63993,29
63994,42
63995,32
63996,29
63997,42
63998,26
63999,26
64000,22
65168,38
65169,36
65298,20
65301,32
65302,32
65304,35
65305,35
65306,14
65307,59
65308,46
66446,28
66447,21
66448,24
66449,41
66450,39
66453,37
66455,45
66457,42
66466,21
66488,48
66502,39
66515,29
66516,33
66517,29
66518,33
66522,51
66525,38
66528,51
66530,44
66531,51
66532,44
66533,51
66534,23
66535,19
66536,23
66537,19
66538,23
66539,19
66540,23
66541,19
66542,40
66543,31
66544,30
66545,44
66546,51
66547,44
66548,51
66549,26
66550,56
66551,31
66552,29
66553,31
68474,35
68475,35
68476,69
68477,25
68478,31
68479,30
68480,33
68481,58
68482,25
68483,25
68484,30
68485,69
68486,32
68487,42
68488,62
68489,42
68490,37
68491,33
68492,33
68493,38
68494,41
68495,22
68496,17
68497,17
68498,17
68499,30
68500,32
68501,27
68503,40
68505,54
68506,38
68507,49
68508,25
68509,33
68510,21
68511,65
68512,37
68513,25
68514,25
68515,20
68517,16
68519,25
68520,52
68521,48
68522,48
68523,37
68525,38
68526,38
68527,38
68528,38
68529,41
68530,34
68531,55
68532,35
68533,40
68534,40
68535,39
68536,35
68537,30
68538,30
68539,30
68540,41
68541,41
68542,78
68543,63
68544,25
68545,48
68546,22
68547,26
68548,18
68549,18
68550,35
68551,15
68552,57
68553,22
68554,65
68555,25
68556,58
68557,53
68558,36
68559,70
68560,69
68561,45
68562,36
68563,36
68564,36
68565,30
68566,37
68567,36
68568,36
68569,32
68570,54
68571,22
68572,45
68573,35
68574,27
68575,17
68576,12
68577,25
68578,17
68579,32
68580,32
68581,29
68582,22
68583,13
68584,62
68585,40
68586,44
68587,54
68588,54
68589,54
68590,56
68591,36
