resident_status_code	race_desc_victim	ethnicity_name_victim	pub_agency_name	offense_name	location_name	weapon_name	injury_name	relationship_name	incident_isweekend
R	Black or African American	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Sibling	True
N	White	Unknown	Grand Forks	Aggravated Assault	Rental Storage Facility	Blunt Object	Severe Laceration	Victim Was Stranger	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Hotel/Motel/Etc.	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Grand Forks	Fondling	Specialty Store	Personal Weapons	None	Victim Was Acquaintance	False
R	White	Hispanic or Latino	Williston	Intimidation	School-Elementary/Secondary	N/A	N/A	Victim Was Friend	False
R	White	Not Hispanic or Latino	Bismarck	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	Apparent Broken Bones	Victim Was Acquaintance	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Richland	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	False
R	White	Not Hispanic or Latino	Bismarck	Aggravated Assault	Residence/Home	Personal Weapons	Possible Internal Injury	Victim Was Sibling	True
R	White	Not Hispanic or Latino	Williston	Fondling	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Neighbor	False
N	White	Not Hispanic or Latino	Fargo	Simple Assault	Bar/Nightclub	Other	Minor Injury	Victim Was Acquaintance	True
N/A	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Other Family Member	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Gambling Facility/Casino/Race Track	None	None	Victim Was Child of Boyfriend or Girlfriend	True
R	White	Hispanic or Latino	Mandan	Fondling	School-Elementary/Secondary	None	None	Victim Was Acquaintance	False
R	Black or African American	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Stranger	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Standing Rock Agency	Intimidation	Residence/Home	N/A	N/A	Victim Was Parent	True
R	American Indian or Alaska Native	Not Specified	Rolette	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Relationship Unknown	False
R	White	Unknown	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	McLean	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Relationship Unknown	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Spouse	False
N	White	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Boyfriend/Girlfriend	True
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	Black or African American	Not Hispanic or Latino	Mandan	Intimidation	Residence/Home	N/A	N/A	Relationship Unknown	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Lisbon	Intimidation	Residence/Home	N/A	N/A	Victim was Ex-Spouse	False
R	Black or African American	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Friend	False
R	White	Not Hispanic or Latino	Williams	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Williston	Aggravated Assault	Residence/Home	Handgun	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Grafton	Intimidation	Residence/Home	N/A	N/A	Victim was Ex-Spouse	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
N	White	Not Hispanic or Latino	Bottineau	Simple Assault	Residence/Home	Other	Minor Injury	Victim Was Acquaintance	True
R	Black or African American	Not Hispanic or Latino	Emerado	Intimidation	Residence/Home	N/A	N/A	Relationship Unknown	False
R	Black or African American	Not Hispanic or Latino	Grand Forks	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
