resident_status_code	race_desc_victim	ethnicity_name_victim	pub_agency_name	offense_name	location_name	weapon_name	injury_name	relationship_name	incident_isweekend
R	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Bar/Nightclub	Firearm	Possible Internal Injury	Victim was Otherwise Known	True
R	White	Not Hispanic or Latino	Burleigh	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Neighbor	True
N	Black or African American	Not Hispanic or Latino	Fargo	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	Bismarck	Intimidation	Park/Playground	N/A	N/A	Victim Was Friend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	False
R	White	Unknown	Barnes	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Hotel/Motel/Etc.	Other	None	Victim Was Offender	False
R	White	Not Hispanic or Latino	Dickinson	Aggravated Assault	Bar/Nightclub	Personal Weapons	Unconscious	Victim Was Stranger	True
N	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Friend	False
R	Black or African American	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Spouse	True
R	White	Not Hispanic or Latino	West Fargo	Aggravated Assault	Residence/Home	Handgun	None	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	West Fargo	Simple Assault	Parking/Drop Lot/Garage	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Bismarck	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim was Otherwise Known	False
R	Black or African American	Not Hispanic or Latino	West Fargo	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Specified	Grand Forks	Intimidation	School-Elementary/Secondary	N/A	N/A	Relationship Unknown	False
R	White	Not Hispanic or Latino	Valley City	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Neighbor	True
R	White	Not Hispanic or Latino	West Fargo	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Stranger	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
N	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Offender	False
R	White	Not Hispanic or Latino	Mandan	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	False
R	White	Not Hispanic or Latino	Cass	Aggravated Assault	Park/Playground	Personal Weapons	Minor Injury	Victim Was Offender	True
N/A	White	Not Specified	Steele	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Child	False
R	White	Not Hispanic or Latino	Eddy	Simple Assault	Residence/Home	Personal Weapons	None	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
R	White	Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Other	Minor Injury	Relationship Unknown	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Park/Playground	Personal Weapons	Minor Injury	Victim Was Stranger	False
R	White	Not Hispanic or Latino	Mercer	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	Minor Injury	Victim was Otherwise Known	False
N	White	Not Hispanic or Latino	Morton	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Friend	False
N	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	True
R	Black or African American	Not Hispanic or Latino	Fargo	Aggravated Assault	Bar/Nightclub	Asphyxiation	Possible Internal Injury	Victim Was Stranger	True
N/A	American Indian or Alaska Native	Not Hispanic or Latino	Ward	Fondling	Residence/Home	Personal Weapons	Possible Internal Injury	Victim Was Child	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Fort Totten Agency	Aggravated Assault	Residence/Home	Blunt Object	Apparent Broken Bones	Victim Was Boyfriend/Girlfriend	False
N	White	Not Hispanic or Latino	Fargo	Simple Assault	Bar/Nightclub	Personal Weapons	None	Victim was Otherwise Known	False
R	Unknown	Unknown	Sargent	Aggravated Assault	Residence/Home	Asphyxiation	Possible Internal Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
N	White	Not Hispanic or Latino	Ward	Aggravated Assault	Jail/Prison/Penitentiary/Corrections Facility	Personal Weapons	Possible Internal Injury	Victim was Otherwise Known	False
